query,label,suffix,temperature,reasoning_effort,run,resource_count,resource_names,response_length,elapsed_seconds,timestamp,error
Housing resources Austin 78745,housing-austin,centraltx,0.0,none,1,10,Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs; ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Foundation Communities – Affordable and Supportive Housing (South Austin Sites); Housing Authority of the City of Austin (HACA) – Public Housing & Rental Assistance; I Belong in Austin (IBIA) – City of Austin Rental Assistance (El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Sunrise Hub + Shelter Waitlist Line); The SAFE Alliance – Emergency Shelter & Housing Assistance for Survivors,12649,58.1,2026-02-17T10:15:14.627059,
Housing resources Austin 78745,housing-austin,centraltx,0.0,none,2,10,Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs (Rapid Rehousing & Supportive Housing); ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Foundation Communities – Affordable & Supportive Housing (South Austin Properties); Housing Authority of the City of Austin (HACA) – Public & Assisted Housing; I Belong in Austin (IBIA) – City of Austin Rental Assistance (El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Hub + City Shelter Waitlist Line); The SAFE Alliance – Emergency Shelter & Housing Assistance (for Survivors),11769,70.5,2026-02-17T10:16:25.111684,
Housing resources Austin 78745,housing-austin,centraltx,0.0,none,3,9,"ARCH – Austin Resource Center for the Homeless (Men’s Emergency Shelter via City Waitlist); Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Caritas of Austin – Housing Programs (Rapid Rehousing & Permanent Supportive Housing); ECHO – Coordinated Entry / Coordinated Assessment (Housing Programs, Non-Shelter); Eighth Street Shelter – Women and Transgender Emergency Shelter (via City Waitlist); Foundation Communities – Affordable Housing (South Austin Properties Near 78745); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing (South Austin); Sunrise Homeless Navigation Center (Shelter & Housing Navigation for Austin/Travis County)",11148,47.2,2026-02-17T10:17:12.268878,
Housing resources Austin 78745,housing-austin,centraltx,0.3,none,1,10,Austin Public Health Neighborhood Centers – Rent & Utility Assistance (Austin/Travis County); Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs (Rapid Rehousing & Supportive Housing); ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Foundation Communities – Affordable Housing & Supportive Housing; Housing Authority of the City of Austin (HACA) – Public Housing & Rental Assistance; I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing (South Austin); Sunrise Homeless Navigation Center (Sunrise Hub + Shelter Waitlist Line); The SAFE Alliance – Emergency Shelter & Housing Assistance (Domestic/Sexual Violence Survivors),13086,71.7,2026-02-17T10:18:24.007788,
Housing resources Austin 78745,housing-austin,centraltx,0.3,none,2,9,Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs; ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Housing Authority of the City of Austin (HACA) – Public Housing & Rental Assistance; I Belong in Austin (IBIA) – City of Austin Rental Assistance (El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Hub + Shelter Waitlist Line); The SAFE Alliance – Emergency Shelter & Housing Assistance (for Survivors),10759,59.0,2026-02-17T10:19:23.016978,
Housing resources Austin 78745,housing-austin,centraltx,0.3,none,3,9,Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs; ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Foundation Communities – Affordable Housing (South Austin Properties); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Hub + City Shelter Waitlist Access); The SAFE Alliance – Emergency Shelter & Housing Assistance (Domestic/Sexual Violence),10596,40.7,2026-02-17T10:20:03.756443,
Housing resources Austin 78745,housing-austin,centraltx,0.6,none,1,10,Austin Public Health Neighborhood Centers – Rent & Utility Assistance; Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs; ECHO – Coordinated Assessment for Housing Programs; Foundation Communities – Affordable and Supportive Housing (South Austin Sites); Housing Authority of the City of Austin (HACA) – Public Housing & Vouchers; I Belong in Austin (IBIA) – City of Austin Rental Assistance; Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Hub + City Shelter Waitlist Line); The SAFE Alliance – Emergency Shelter & Housing Assistance for Survivors,12830,47.0,2026-02-17T10:20:50.802311,
Housing resources Austin 78745,housing-austin,centraltx,0.6,none,2,11,ARCH – Austin Resource Center for the Homeless (Adult Men); Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Austin Shelter for Women and Children (Salvation Army); ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Eighth Street Shelter (Women and Transgender Individuals); Foundation Communities – Affordable Housing (South Austin Properties Near 78745); Housing Authority of the City of Austin (HACA); I Belong in Austin (City of Austin Rental Assistance Program – Administered by El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Hotline + Hub); The SAFE Alliance – Emergency Shelter and Housing Services (DV/Sexual Assault),13348,60.1,2026-02-17T10:21:50.871928,
Housing resources Austin 78745,housing-austin,centraltx,0.6,none,3,10,ARCH – Austin Resource Center for the Homeless (Men’s Shelter – Access via Waitlist); Austin Public Health Neighborhood Centers – Rent & Austin Energy Assistance; Austin Shelter for Women and Children (Salvation Army); ECHO – Coordinated Entry / Coordinated Assessment for Housing Programs; Eighth Street Shelter (Women and Transgender Shelter – Access via Waitlist); Foundation Communities – Sierra Ridge & Nearby South Austin Properties; Housing Authority of the City of Austin (HACA) – Public & Assisted Housing; I Belong in Austin (IBIA) – City of Austin Rental Assistance Program; Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Shelter & Housing Navigation Access Point),12224,43.1,2026-02-17T10:22:34.004540,
Housing resources Austin 78745,housing-austin,centraltx,0.9,none,1,10,ARCH – Austin Resource Center for the Homeless (Men’s Shelter); Austin Public Health – Rent & Utility Assistance Line (Neighborhood Centers); Caritas of Austin – Housing Programs; ECHO – Coordinated Entry / Coordinated Assessment; Eighth Street Shelter (Women and Transgender Shelter); Foundation Communities – Affordable & Supportive Housing (South Austin Properties); Housing Authority of the City of Austin (HACA) – Public Housing & Rental Assistance; I Belong in Austin (IBIA) – City of Austin Rental Assistance; Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Shelter Waitlist & Housing Navigation),11154,43.2,2026-02-17T10:23:17.164046,
