query,label,suffix,reasoning_effort,run,expected_web_search,web_search_used,web_search_count,result_id,trace_id,resource_count,resource_names,response_length,elapsed_seconds,timestamp,error
Housing resources Austin 78745,housing-austin,centraltx,none,1,False,YES,1,8ad96f65-0257-46ca-a5b4-2386c840d3fc,888c2b2040d9f8e3d22fb0a1a2981255,10,"Sunrise Homeless Navigation Center (Hub + City Shelter Waitlist Access); ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); ARCH – Austin Resource Center for the Homeless (Men’s Emergency Shelter, by referral only); Eighth Street Shelter (Women and Transgender Emergency Shelter, by referral only); Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs (Rapid Rehousing & Supportive Housing); Foundation Communities – Affordable and Supportive Housing (South Austin Sites Near 78745); Mary Lee Foundation – Affordable & Supportive Housing; I Belong in Austin (City of Austin Rental Assistance Program, administered by El Buen Samaritano); Austin Public Health Neighborhood Centers – Rent & Utility Assistance (Travis County)",11877,42.7,2026-02-13T07:45:37.823379,
Housing resources Austin 78745,housing-austin,centraltx,none,2,False,YES,1,c45cdf12-982b-4c7a-98c5-1a9c28065523,c9b70dad00393fced788ea8745b57852,10,"Sunrise Homeless Navigation Center (Hotline + Hub); ARCH – Austin Resource Center for the Homeless (Men’s Shelter, by waitlist only); Eighth Street Shelter (Women & Transgender Shelter, by waitlist only); ECHO – Coordinated Entry / Coordinated Assessment (Non-shelter Housing Programs); Caritas of Austin – Housing Programs (Rapid Rehousing & Supportive Housing); Foundation Communities – Affordable & Supportive Housing (South Austin properties); Mary Lee Foundation – Affordable & Supportive Housing; Austin Public Health Neighborhood Centers – Rent & Austin Energy Assistance; I Belong in Austin (IBIA) – City of Austin Rental Assistance (El Buen Samaritano); Housing Authority of the City of Austin (HACA) – Public Housing & Rental Assistance",12714,41.7,2026-02-13T07:46:24.899352,
Housing resources Austin 78745,housing-austin,centraltx,low,1,False,YES,1,f4c6040d-db50-4e3f-9266-7a1ee2ef6888,a8edd81e35f30d0e0d1e3647849a0334,15,"Sunrise Homeless Navigation Center (Sunrise Hub + Shelter Waitlist Line); I Belong in Austin (City of Austin Rental Assistance, administered by El Buen Samaritano); Foundation Communities – Sierra Ridge Apartments (Affordable Housing, 78745); Foundation Communities – Sierra Vista (Affordable Housing, near 78745); Foundation Communities – Affordable & Supportive Housing Waitlists (Austin-wide); Mary Lee Foundation – Affordable and Supportive Housing; Austin Public Health Neighborhood Centers – Rent & Utility Assistance (Travis County); Housing Authority of the City of Austin (HACA) – Public Housing & Rental Assistance; ECHO – Coordinated Entry / Coordinated Assessment for Homeless Housing Programs; Caritas of Austin – Housing Programs (Rapid Rehousing & Supportive Housing); Foundation for the Homeless – Housing for Families with Minor Children; ARCH (Austin Resource Center for the Homeless) – Men’s Emergency Shelter; Eighth Street Shelter – Women and Transgender Emergency Shelter; Austin Shelter for Women and Children (Salvation Army); The SAFE Alliance – Emergency Shelter and Housing Assistance for Survivors",16521,81.1,2026-02-13T07:47:51.469177,
Housing resources Austin 78745,housing-austin,centraltx,low,2,False,YES,2,42609635-125e-46cc-a628-1b2d611740a4,8175845588dd5fcd513d2930fde1b137,12,Sunrise Homeless Navigation Center (Sunrise Hub + Hotline); ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); I Belong in Austin (City of Austin Eviction Prevention Rent Program – via El Buen Samaritano); Austin Public Health Neighborhood Centers – Rent & Utility Help (Austin/Travis County); Housing Authority of the City of Austin (HACA) – Public Housing & Voucher Programs; Foundation Communities – Affordable & Supportive Housing (Waitlists); Mary Lee Foundation – Affordable & Supportive Housing (South Austin); ARCH – Austin Resource Center for the Homeless (Men’s Shelter); Eighth Street Shelter – Women & Transgender Shelter; Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs (Rapid Rehousing & Permanent Supportive Housing); The SAFE Alliance – Emergency Shelter & Housing Services (Domestic/Sexual Violence Survivors),14537,103.5,2026-02-13T07:49:40.502360,
Employment & Job Training Austin 78701,employment-austin,centraltx,none,1,False,YES,1,15f9cbbe-4fb6-4e71-8327-48acae3f38fb,f7f04e1af32a77aa4ca36669351e2c73,7,City of Austin First Workers' Day Labor Program; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Workforce Solutions Capital Area – North Career Center; Goodwill Central Texas – Career Services (Austin Community Center & Resource Center); Skillpoint Alliance – Austin; Austin Community College (ACC) Career Services – Highland Campus; Year Up United – Austin,9188,40.7,2026-02-13T07:50:26.823755,
Employment & Job Training Austin 78701,employment-austin,centraltx,none,2,False,YES,1,4476e06e-8eb6-435b-a181-ed3c8f4b800e,0ead493ba23525bc55f387e8f69aa418,5,City of Austin First Workers' Day Labor Program; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Goodwill Central Texas – Career Services (Intake for Austin Locations); Workforce Solutions Capital Area – North Career Center; Skillpoint Alliance – Austin,6481,26.6,2026-02-13T07:50:59.070218,
Employment & Job Training Austin 78701,employment-austin,centraltx,low,1,False,YES,1,02ed077c-a0bf-4d6a-b044-957fae531b56,b7cefa755ed4ecbfbbbb568762262f58,6,City of Austin First Workers' Day Labor Program; Workforce Solutions Capital Area – Career Centers (Travis County); Capital IDEA – Free College-to-Career Training; Austin Community College (ACC) Career Services; Skillpoint Alliance – Skilled Trades & Manufacturing Training; Year Up United – Austin,5951,42.4,2026-02-13T07:51:47.095973,
Employment & Job Training Austin 78701,employment-austin,centraltx,low,2,False,YES,1,b5dc06f4-81a9-42df-ac02-c097b467beb5,eebd45c51756b06ced8f6922b5e73dc5,5,City of Austin First Workers' Day Labor Program; Workforce Solutions Capital Area – Career Centers (Travis County); Austin Community College (ACC) Career Services – Highland Campus; Skillpoint Alliance – Free Skilled Trades & Manufacturing Training; Year Up United – Austin,7057,55.6,2026-02-13T07:52:48.359608,
Lost IDs Austin TX,lost-ids-austin,centraltx,none,1,False,YES,1,ab3c8d87-3d16-48c4-98f6-554ae3f3d108,961b3c18fb99d59b3f3cc0d7079642ad,7,"Texas Department of Public Safety – Driver License Office (Austin-Pflugerville Mega Center); Texas Department of Public Safety – Driver License Office (Austin North Lamar); Texas Department of Public Safety – How to Replace Your Driver License, ID Card, or Permit (Online & Mail Options); Social Security Administration – Replace Your Social Security Card (Online & In-Person); Social Security Administration – Austin North Office; Social Security Administration – Austin South (Oak Hill) Office; Travis County Reentry Resources – Vital Document Recovery Support",6751,29.7,2026-02-13T07:53:23.732642,
Lost IDs Austin TX,lost-ids-austin,centraltx,none,2,False,YES,1,c180f23e-01aa-45dc-a0d7-4ccd24f78e97,0b07dfd5bb94e2c8973922a2d52b8e67,5,Texas Department of Public Safety – Driver License & Identification Services (Austin Area); Texas Online Driver License and ID Replacement; U.S. Social Security Administration – Austin North Office; U.S. Social Security Administration – Austin South (Oak Hill) Office; Travis County Reentry Resources – Vital Document Recovery Assistance,6010,33.3,2026-02-13T07:54:02.948380,
